,Region,IndustrySector,Sex,Ethnicity,Race,VeteranStatus,SizeOfFirm,NumberOfRespondents,TotalRevenueOfFirmsInCategory,NumberOfEmployeesInCategory,AnnualPayroll
0,United States,Total for all sectors,Female,Hispanic,Total,Total,All firms,84496,91103725,722654,21975675
1,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with no employees,10036,3233978,0,499996
2,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 1 to 4 employees,47105,15792524,92631,2808773
3,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 5 to 9 employees,12523,10688294,83449,2601817
4,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 10 to 19 employees,8516,14105603,116479,3506384
5,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 20 to 49 employees,4205,16456658,128274,4273929
6,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 50 to 99 employees,1233,10476572,82901,2470157
7,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 100 to 249 employees,676,8086935,94252,2285518
8,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 250 to 499 employees,144,4170047,53573,1546183
9,United States,Total for all sectors,Female,Hispanic,Total,Total,Firms with 500 employees or more,60,8093114,71094,1982917
10,United States,Total for all sectors,Male,Hispanic,Total,Total,All firms,209426,325773064,1957790,70543436
11,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with no employees,25936,11979483,0,1361786
12,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 1 to 4 employees,110145,47365819,221420,8090345
13,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 5 to 9 employees,34623,34827981,228162,7795923
14,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 10 to 19 employees,20624,42165628,275507,9723818
15,United States,Total for all sectors,Total,Total,Total,Total,All firms,5722142,38405539368,128196406,6937240308
16,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,711493,325046053,0,49465824
17,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 4 employees,2810033,1247506977,5612254,225973662
18,United States,Total for all sectors,Total,Total,Total,Total,Firms with 5 to 9 employees,948936,1071154479,6265576,249456413
19,United States,Total for all sectors,Total,Total,Total,Total,Firms with 10 to 19 employees,611926,1397607709,8242749,335750963
20,United States,Total for all sectors,Total,Total,Total,Total,Firms with 20 to 49 employees,402704,2421677332,12161051,526534406
21,United States,Total for all sectors,Total,Total,Total,Total,Firms with 50 to 99 employees,124334,2212008509,8533853,406406856
22,United States,Total for all sectors,Total,Total,Total,Total,Firms with 100 to 249 employees,71081,3208386734,10657260,550771515
