,Region,IndustrySector,Sex,Ethnicity,Race,VeteranStatus,SizeOfFirm,FACTORS_P,FACTORS_P_LABEL,NumberOfRespondents,FIRMPDEMP_PCT,FIRMPDEMP_PCT_F,TotalRevenueOfFirmsInCategory,RCPPDEMP_PCT,RCPPDEMP_PCT_F,NumberOfEmployeesInCategory,EMP_PCT,EMP_PCT_F,AnnualPayroll,PAYANN_PCT,PAYANN_PCT_F,FIRMPDEMP_PCT_S,FIRMPDEMP_PCT_S_F,RCPPDEMP_PCT_S,RCPPDEMP_PCT_S_F,EMP_PCT_S,EMP_PCT_S_F,PAYANN_PCT_S,PAYANN_PCT_S_F
0,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R08,Cloud-Based: Lacked access to capital,44724,0.9,,730209484,2.4,,1469117,1.6,,108923934,2.2,,0.0,,4.5,,1.3,,2.9,
1,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R09,Cloud-Based: Technology not applicable to this business,1828050,38.6,,7901779199,26.5,,28474985,30.3,,1305851823,25.9,,0.3,,16.6,,8.4,,13.4,
2,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R10,Cloud-Based: No factors adversely affected the adoption of this technology,2484539,52.4,,17955676080,60.2,,54492977,58.0,,3090558571,61.4,,0.3,,3.8,,2.8,,4.3,
3,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R99,Cloud-Based: Total Reporting,4739493,100.0,,29847139873,100.0,,93942693,100.0,,5037549941,100.0,,0.0,,0.0,,0.0,,0.0,
4,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R01,Specialized Software: Technology was too expensive,282423,6.0,,2147246512,7.2,,6152082,6.6,,340768731,6.8,,0.1,,5.8,,1.6,,4.1,
5,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R02,Specialized Software: Technology was not mature,25464,0.5,,970942951,3.3,,2070271,2.2,,142039691,2.8,,0.0,,7.4,,3.8,,5.8,
6,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R03,Specialized Software: Lacked access to required data,19907,0.4,,777602864,2.6,,995780,1.1,,76652098,1.5,,0.0,,6.4,,1.2,,3.1,
7,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R04,Specialized Software: Required data not reliable,11649,0.2,,845887479,2.8,,907923,1.0,,83968090,1.7,,0.0,,7.6,,2.1,,4.2,
8,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R05,Specialized Software: Lacked access to required human capital and talent,35600,0.8,,1771308091,5.9,,2944522,3.1,,203717077,4.0,,0.0,,12.3,,6.3,,8.7,
9,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R06,Specialized Software: Laws and regulations,27045,0.6,,819024418,2.7,,1200890,1.3,,101119041,2.0,,0.0,,6.7,,1.9,,4.0,
10,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R07,Specialized Software: Concerns regarding safety and security (physical security and/or cyber security),36531,0.8,,1684014600,5.6,,2527574,2.7,,192897610,3.8,,0.0,,14.0,,4.9,,7.9,
11,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R08,Specialized Software: Lacked access to capital,52846,1.1,,948553482,3.2,,1600371,1.7,,117730339,2.3,,0.0,,6.1,,1.1,,3.0,
12,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R09,Specialized Software: Technology not applicable to this business,1797840,38.0,,7944104506,26.6,,28807185,30.7,,1323081627,26.3,,0.3,,16.8,,7.4,,13.5,
13,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R10,Specialized Software: No factors adversely affected the adoption of this technology,2536302,53.5,,18393267342,61.6,,55706284,59.3,,3179051036,63.1,,0.3,,6.9,,2.7,,6.5,
